"id","index","m","H_init","rho_init","H_opt","rho_opt","value","counts","convergence","message","time_Min"
12,".AEX",102,0.1,3.5,0.00993064231317559,3.27318411758871,-1.05736215031868,"18;18",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",78.8093333333333
50,".AORD",72,0.05,1.5,0.00964103047994748,3.98455123493963,-0.866809005427654,"74;74",52,"ERROR: ABNORMAL_TERMINATION_IN_LNSRCH",283.566883333333
108,".BFX",102,0.3,3.5,0.00952337080694119,3.15309344231539,-1.10640727552613,"95;95",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",335.839366666667
152,".BSESN",75,0.3,3.5,0.0151344877827912,2.56436908862081,-1.06513458967595,"37;37",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",154.788766666667
192,".BVLG",90,0.2,3.5,0.0207711100761375,1.74087280389967,-1.27564397990609,"75;75",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",147.8275
241,".BVSP",84,0.4,0.5,0.0231966219677514,2.07391120596177,-1.07863406423093,"65;65",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",244.419116666667
268,".DJI",78,0.01,3.5,0.0162611906277113,3.41428568026672,-0.785281502609946,"50;50",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",204.848816666667
328,".FCHI",102,0.3,3.5,0.021102478527899,2.33699133611454,-1.02577491162212,"89;89",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",313.36855
375,".FTMIB",102,0.4,2.5,0.0289403343532386,2.02377006092928,-1.01862398121258,"51;51",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",233.616866666666
437,".FTSE",102,0.9,0.5,0.0104644949218361,3.86712572658049,-0.875168817517621,"45;45",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",189.767033333333
469,".GDAXI",102,0.6,0.5,0.0165688313627902,2.70426050222671,-0.998083413982514,"43;43",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",179.937033333333
520,".GSPTSE",78,0.7,3.5,0.0104999123506793,3.78632274501104,-0.879763093621152,"71;71",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",274.493183333334
531,".HSI",78,0.01,2.5,0.0237132904239522,2.06477932371117,-1.06024409765103,"58;58",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",236.7606
599,".IBEX",102,0.5,2.5,0.0520583377661457,1.4508777024354,-1.065390318892,"40;40",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",168.702583333333
632,".IXIC",78,0.2,3.5,0.0279673743609443,2.12870372999629,-0.977547659136461,"41;41",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",183.6107
684,".KS11",78,0.4,3.5,0.013351927554988,2.41786713829697,-1.16924731806083,"75;75",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",266.016233333333
727,".KSE",72,0.4,2.5,0.011137511622615,3.69641439814013,-0.876739108526793,"67;67",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",268.622683333333
771,".MXX",78,0.4,2.5,0.00877886692347229,4.25462770594782,-0.852461112406894,"67;67",52,"ERROR: ABNORMAL_TERMINATION_IN_LNSRCH",271.692716666667
800,".N225",72,0.05,3.5,0.0159702336420396,2.88509509782065,-0.940562856532151,"62;62",52,"ERROR: ABNORMAL_TERMINATION_IN_LNSRCH",239.224116666666
848,".NSEI",75,0.1,3.5,0.0163907891594772,2.61872314975221,-1.0115404086585,"54;54",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",216.330316666667
918,".OMXC20",96,0.8,1.5,0.00995124041006384,3.60277499904166,-0.962948630488453,"70;70",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",272.004166666667
932,".OMXHPI",102,0.05,3.5,0.00922091699980435,3.31453247377913,-1.07732187866878,"19;19",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",84.8550166666663
972,".OMXSPI",102,0.01,3.5,0.00889845673259823,3.49692910065039,-1.04166938824253,"20;20",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",105.654049999999
1023,".OSEAX",88,0.1,2.5,0.0105374656330169,3.84617260367779,-0.87272626408553,"38;38",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",162.383016666667
1064,".RUT",78,0.05,3.5,0.0304068097132078,2.20882446451389,-0.904305696750207,"49;49",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",203.447983333334
1106,".SMSI",78,0.05,1.5,0.0534760493329787,1.40440018484279,-1.06609720747387,"31;31",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",157.9541
1162,".SPX",78,0.3,1.5,0.0491508640238496,1.90215028613049,-0.886575868263715,"45;45",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",182.571083333333
1192,".SSEC",66,0.01,3.5,0.0116193592434067,2.90457576073816,-1.06029660471167,"39;39",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",169.484199999999
1240,".SSMI",102,0.05,3.5,0.0103600739104052,2.56524394476756,-1.24874421413576,"72;72",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",266.394766666666
1283,".STI",96,0.05,2.5,0.0352127541284695,1.2539649827417,-1.33179179454092,"36;36",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",151.628966666666
1324,".STOXX50E",102,0.01,3.5,0.0229228940077698,2.91085744837452,-0.786910319805292,"46;46",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",165.000266666667
